ncbiTaxID_new,superkingdom_id,superkingdom,phylum_id,phylum,class_id,class,order_id,order,family_id,family,genus_id,genus,species_id,species,rank_new,name_new,Temp,Temp_Range_Average,Temp_Duplicate_Average,Temp_Value,Type,Source,Source_ID
111291,2,Bacteria,1224,Pseudomonadota,1236,Gammaproteobacteria,135622,Alteromonadales,267891,Moritellaceae,58050,Moritella,111291,Moritella profunda,species,Moritella profunda,2.00,2.00,2.00,original,optimum,Tempura,Tempura8634
1245754,2,Bacteria,1224,Pseudomonadota,28216,Betaproteobacteria,80840,Burkholderiales,75682,Oxalobacteraceae,1229970,Glaciimonas,1245754,Glaciimonas frigoris,species,Glaciimonas frigoris,3.00,3.00,3.00,original,optimum,Tempura,Tempura8557
174037,2,Bacteria,1224,Pseudomonadota,1236,Gammaproteobacteria,135622,Alteromonadales,267894,Psychromonadaceae,67572,Psychromonas,174037,Psychromonas profunda,species,Psychromonas profunda,3.50,3.50,3.50,original,optimum,Tempura,Tempura8632
37448,2,Bacteria,1224,Pseudomonadota,28216,Betaproteobacteria,80840,Burkholderiales,80864,Comamonadaceae,52972,Polaromonas,37448,Polaromonas vacuolata,species,Polaromonas vacuolata,4.00,4.00,4.00,original,optimum,Tempura,Tempura8633
1970431,2,Bacteria,1224,Pseudomonadota,28211,Alphaproteobacteria,204457,Sphingomonadales,41297,Sphingomonadaceae,13687,Sphingomonas,1970431,Sphingomonas sp. 12-62-6,species,Sphingomonas sp. 12-62-6,4.20,4.20,4.20,original,optimum,aciDB,aciDB235
1970432,2,Bacteria,1224,Pseudomonadota,28211,Alphaproteobacteria,204457,Sphingomonadales,41297,Sphingomonadaceae,13687,Sphingomonas,1970432,Sphingomonas sp. 28-62-11,species,Sphingomonas sp. 28-62-11,4.20,4.20,4.20,original,optimum,aciDB,aciDB236
1970433,2,Bacteria,1224,Pseudomonadota,28211,Alphaproteobacteria,204457,Sphingomonadales,41297,Sphingomonadaceae,13687,Sphingomonas,1970433,Sphingomonas sp. 28-62-20,species,Sphingomonas sp. 28-62-20,4.20,4.20,4.20,original,optimum,aciDB,aciDB232
1970434,2,Bacteria,1224,Pseudomonadota,28211,Alphaproteobacteria,204457,Sphingomonadales,41297,Sphingomonadaceae,13687,Sphingomonas,1970434,Sphingomonas sp. 28-63-12,species,Sphingomonas sp. 28-63-12,4.20,4.20,4.20,original,optimum,aciDB,aciDB231
1970435,2,Bacteria,1224,Pseudomonadota,28211,Alphaproteobacteria,204457,Sphingomonadales,41297,Sphingomonadaceae,13687,Sphingomonas,1970435,Sphingomonas sp. 28-66-16,species,Sphingomonas sp. 28-66-16,4.20,4.20,4.20,original,optimum,aciDB,aciDB233
1970436,2,Bacteria,1224,Pseudomonadota,28211,Alphaproteobacteria,204457,Sphingomonadales,41297,Sphingomonadaceae,13687,Sphingomonas,1970436,Sphingomonas sp. 32-62-10,species,Sphingomonas sp. 32-62-10,4.20,4.20,4.20,original,optimum,aciDB,aciDB234
