ncbiTaxID_new,superkingdom_id,superkingdom,phylum_id,phylum,class_id,class,order_id,order,family_id,family,genus_id,genus,species_id,species,rank_new,name_new,Temp,Temp_Range_Average,Temp_Duplicate_Average,Temp_Value,Type,Source,Source_ID,taxid_original,taxid_was_merged,taxid_was_deleted,taxid_is_deleted_after_update,has_refseq_assembly
111291,2.0,Bacteria,1224.0,Pseudomonadota,1236.0,Gammaproteobacteria,135622.0,Alteromonadales,267891.0,Moritellaceae,58050.0,Moritella,111291.0,Moritella profunda,species,Moritella profunda,2.00,2.00,2.0,original,optimum,Tempura,Tempura8634,111291,False,False,False,False
1245754,2.0,Bacteria,1224.0,Pseudomonadota,28216.0,Betaproteobacteria,80840.0,Burkholderiales,75682.0,Oxalobacteraceae,1229970.0,Glaciimonas,1245754.0,Glaciimonas frigoris,species,Glaciimonas frigoris,3.00,3.00,3.0,original,optimum,Tempura,Tempura8557,1245754,False,False,False,False
174037,2.0,Bacteria,1224.0,Pseudomonadota,1236.0,Gammaproteobacteria,135622.0,Alteromonadales,267894.0,Psychromonadaceae,67572.0,Psychromonas,174037.0,Psychromonas profunda,species,Psychromonas profunda,3.50,3.50,3.5,original,optimum,Tempura,Tempura8632,174037,False,False,False,False
1970431,2.0,Bacteria,1224.0,Pseudomonadota,28211.0,Alphaproteobacteria,204457.0,Sphingomonadales,41297.0,Sphingomonadaceae,13687.0,Sphingomonas,1970431.0,Sphingomonas sp. 12-62-6,species,Sphingomonas sp. 12-62-6,4.20,4.20,4.2,original,optimum,aciDB,aciDB235,1970431,False,False,False,False
1970435,2.0,Bacteria,1224.0,Pseudomonadota,28211.0,Alphaproteobacteria,204457.0,Sphingomonadales,41297.0,Sphingomonadaceae,13687.0,Sphingomonas,1970435.0,Sphingomonas sp. 28-66-16,species,Sphingomonas sp. 28-66-16,4.20,4.20,4.2,original,optimum,aciDB,aciDB233,1970435,False,False,False,False
1970597,2.0,Bacteria,1224.0,Pseudomonadota,28211.0,Alphaproteobacteria,204457.0,Sphingomonadales,,,,,1970597.0,Sphingomonadales bacterium 35-56-22,species,Sphingomonadales bacterium 35-56-22,4.20,4.20,4.2,original,optimum,aciDB,aciDB228,1970597,False,False,False,False
1970598,2.0,Bacteria,1224.0,Pseudomonadota,28211.0,Alphaproteobacteria,204457.0,Sphingomonadales,,,,,1970598.0,Sphingomonadales bacterium 39-57-19,species,Sphingomonadales bacterium 39-57-19,4.20,4.20,4.2,original,optimum,aciDB,aciDB229,1970598,False,False,False,False
1970599,2.0,Bacteria,1224.0,Pseudomonadota,28211.0,Alphaproteobacteria,204457.0,Sphingomonadales,,,,,1970599.0,Sphingomonadales bacterium 39-62-4,species,Sphingomonadales bacterium 39-62-4,4.20,4.20,4.2,original,optimum,aciDB,aciDB227,1970599,False,False,False,False
111292,2.0,Bacteria,1224.0,Pseudomonadota,1236.0,Gammaproteobacteria,135622.0,Alteromonadales,267891.0,Moritellaceae,58050.0,Moritella,111292.0,Moritella abyssi,species,Moritella abyssi,4.50,4.50,4.5,original,optimum,Tempura,Tempura8631,111292,False,False,False,False
866565,2.0,Bacteria,1224.0,Pseudomonadota,28216.0,Betaproteobacteria,80840.0,Burkholderiales,80864.0,Comamonadaceae,52972.0,Polaromonas,866565.0,Polaromonas cryoconiti,species,Polaromonas cryoconiti,5.50,5.50,5.5,original,optimum,Tempura,Tempura8555,866565,False,False,False,False
1970304,2.0,Bacteria,1224.0,Pseudomonadota,28211.0,Alphaproteobacteria,204441.0,Rhodospirillales,433.0,Acetobacteraceae,50709.0,Acidocella,1970304.0,Acidocella sp. 20-63-7,species,Acidocella sp. 20-63-7,6.29,6.29,6.29,original,optimum,aciDB,aciDB70,1970304,False,False,False,False
1970305,2.0,Bacteria,1224.0,Pseudomonadota,28211.0,Alphaproteobacteria,204441.0,Rhodospirillales,433.0,Acetobacteraceae,50709.0,Acidocella,1970305.0,Acidocella sp. 21-58-7,species,Acidocella sp. 21-58-7,6.29,6.29,6.29,original,optimum,aciDB,aciDB71,1970305,False,False,False,False
1970306,2.0,Bacteria,1224.0,Pseudomonadota,28211.0,Alphaproteobacteria,204441.0,Rhodospirillales,433.0,Acetobacteraceae,50709.0,Acidocella,1970306.0,Acidocella sp. 35-58-6,species,Acidocella sp. 35-58-6,6.29,6.29,6.29,original,optimum,aciDB,aciDB72,1970306,False,False,False,False
1970308,2.0,Bacteria,1224.0,Pseudomonadota,28216.0,Betaproteobacteria,80840.0,Burkholderiales,80864.0,Comamonadaceae,12916.0,Acidovorax,1970308.0,Acidovorax sp. 17-64-282,species,Acidovorax sp. 17-64-282,6.29,6.29,6.29,original,optimum,aciDB,aciDB79,1970308,False,False,False,False
1970311,2.0,Bacteria,1224.0,Pseudomonadota,28216.0,Betaproteobacteria,80840.0,Burkholderiales,80864.0,Comamonadaceae,12916.0,Acidovorax,1970311.0,Acidovorax sp. 32-64-7,species,Acidovorax sp. 32-64-7,6.29,6.29,6.29,original,optimum,aciDB,aciDB76,1970311,False,False,False,False
1970488,2.0,Bacteria,201174.0,Actinomycetota,,,,,,,,,1970488.0,Actinobacteria bacterium 21-64-8,species,Actinobacteria bacterium 21-64-8,6.29,6.29,6.29,original,optimum,aciDB,aciDB84,1970488,False,False,False,False
1970489,2.0,Bacteria,201174.0,Actinomycetota,,,,,,,,,1970489.0,Actinobacteria bacterium 21-73-9,species,Actinobacteria bacterium 21-73-9,6.29,6.29,6.29,original,optimum,aciDB,aciDB83,1970489,False,False,False,False
1796491,2.0,Bacteria,1224.0,Pseudomonadota,28216.0,Betaproteobacteria,32003.0,Nitrosomonadales,90627.0,Gallionellaceae,96.0,Gallionella,1796491.0,Candidatus Gallionella acididurans,species,Candidatus Gallionella acididurans,6.50,6.50,6.5,original,optimum,aciDB,aciDB129,1796491,False,False,False,False
84981,2.0,Bacteria,200940.0,Thermodesulfobacteriota,3024418.0,Desulfobacteria,213118.0,Desulfobacterales,2904606.0,Desulfofabaceae,109169.0,Desulfofaba,84981.0,Desulfofaba gelida,species,Desulfofaba gelida,7.00,7.00,7.0,original,optimum,BacDive,3984,84981,False,False,False,False
913101,2.0,Bacteria,203691.0,Spirochaetota,203692.0,Spirochaetia,136.0,Spirochaetales,2791015.0,Sphaerochaetaceae,1920504.0,Pleomorphochaeta,913101.0,Pleomorphochaeta multiformis,species,Pleomorphochaeta multiformis,7.00,7.00,7.0,original,optimum,Tempura,Tempura8614,913101,False,False,False,False
351628,2.0,Bacteria,1239.0,Bacillota,186801.0,Clostridia,186802.0,Eubacteriales,31979.0,Clostridiaceae,1485.0,Clostridium,351628.0,Clostridium schirmacherense,species,Clostridium schirmacherense,"46,152.00","46,152.00",7.5,manual fix,optimum,BacDive,2832,351628,False,False,False,False
