ncbiTaxID_new,superkingdom_id,superkingdom,phylum_id,phylum,class_id,class,order_id,order,family_id,family,genus_id,genus,species_id,species,rank_new,name_new,Temp,Temp_Range_Average,Temp_Duplicate_Average,Temp_Value,Type,Source,Source_ID,taxid_original,taxid_was_merged,taxid_was_deleted,taxid_is_deleted_after_update,has_refseq_assembly
37448,2.0,Bacteria,1224.0,Pseudomonadota,28216.0,Betaproteobacteria,80840.0,Burkholderiales,80864.0,Comamonadaceae,52972.0,Polaromonas,37448.0,Polaromonas vacuolata,species,Polaromonas vacuolata,4.00,4.00,4.0,original,optimum,Tempura,Tempura8633,37448,False,False,False,True
1970432,2.0,Bacteria,1224.0,Pseudomonadota,28211.0,Alphaproteobacteria,204457.0,Sphingomonadales,41297.0,Sphingomonadaceae,13687.0,Sphingomonas,1970432.0,Sphingomonas sp. 28-62-11,species,Sphingomonas sp. 28-62-11,4.20,4.20,4.2,original,optimum,aciDB,aciDB236,1970432,False,False,False,True
1970433,2.0,Bacteria,1224.0,Pseudomonadota,28211.0,Alphaproteobacteria,204457.0,Sphingomonadales,41297.0,Sphingomonadaceae,13687.0,Sphingomonas,1970433.0,Sphingomonas sp. 28-62-20,species,Sphingomonas sp. 28-62-20,4.20,4.20,4.2,original,optimum,aciDB,aciDB232,1970433,False,False,False,True
1970434,2.0,Bacteria,1224.0,Pseudomonadota,28211.0,Alphaproteobacteria,204457.0,Sphingomonadales,41297.0,Sphingomonadaceae,13687.0,Sphingomonas,1970434.0,Sphingomonas sp. 28-63-12,species,Sphingomonas sp. 28-63-12,4.20,4.20,4.2,original,optimum,aciDB,aciDB231,1970434,False,False,False,True
1970436,2.0,Bacteria,1224.0,Pseudomonadota,28211.0,Alphaproteobacteria,204457.0,Sphingomonadales,41297.0,Sphingomonadaceae,13687.0,Sphingomonas,1970436.0,Sphingomonas sp. 32-62-10,species,Sphingomonas sp. 32-62-10,4.20,4.20,4.2,original,optimum,aciDB,aciDB234,1970436,False,False,False,True
43661,2.0,Bacteria,1224.0,Pseudomonadota,1236.0,Gammaproteobacteria,135622.0,Alteromonadales,267890.0,Shewanellaceae,22.0,Shewanella,43661.0,Shewanella benthica,species,Shewanella benthica,5.00,5.00,5.0,original,optimum,Tempura,Tempura8637,43661,False,False,False,True
198347,2.0,Bacteria,1239.0,Bacillota,186801.0,Clostridia,186802.0,Eubacteriales,31979.0,Clostridiaceae,1485.0,Clostridium,198347.0,Clostridium algoriphilum,species,Clostridium algoriphilum,5.00,5.00,5.0,original,optimum,Tempura,Tempura8600,198347,False,False,False,True
336828,2.0,Bacteria,976.0,Bacteroidota,768503.0,Cytophagia,768507.0,Cytophagales,89373.0,Cytophagaceae,336827.0,Rhodonellum,336828.0,Rhodonellum psychrophilum,species,Rhodonellum psychrophilum,5.00,5.00,5.0,original,optimum,Tempura,Tempura8573,336828,False,False,False,True
651662,2.0,Bacteria,976.0,Bacteroidota,768503.0,Cytophagia,768507.0,Cytophagales,1853232.0,Hymenobacteraceae,89966.0,Hymenobacter,651662.0,Hymenobacter psychrophilus,species,Hymenobacter psychrophilus,5.50,5.50,5.5,original,optimum,Tempura,Tempura8556,651662,False,False,False,True
1970307,2.0,Bacteria,1224.0,Pseudomonadota,28216.0,Betaproteobacteria,80840.0,Burkholderiales,80864.0,Comamonadaceae,12916.0,Acidovorax,1970307.0,Acidovorax sp. 16-64-162,species,Acidovorax sp. 16-64-162,6.29,6.29,6.29,original,optimum,aciDB,aciDB80,1970307,False,False,False,True
1970309,2.0,Bacteria,1224.0,Pseudomonadota,28216.0,Betaproteobacteria,80840.0,Burkholderiales,80864.0,Comamonadaceae,12916.0,Acidovorax,1970309.0,Acidovorax sp. 24-64-9,species,Acidovorax sp. 24-64-9,6.29,6.29,6.29,original,optimum,aciDB,aciDB78,1970309,False,False,False,True
1970310,2.0,Bacteria,1224.0,Pseudomonadota,28216.0,Betaproteobacteria,80840.0,Burkholderiales,80864.0,Comamonadaceae,12916.0,Acidovorax,1970310.0,Acidovorax sp. 28-64-14,species,Acidovorax sp. 28-64-14,6.29,6.29,6.29,original,optimum,aciDB,aciDB77,1970310,False,False,False,True
1970312,2.0,Bacteria,1224.0,Pseudomonadota,28216.0,Betaproteobacteria,80840.0,Burkholderiales,80864.0,Comamonadaceae,12916.0,Acidovorax,1970312.0,Acidovorax sp. 35-64-16,species,Acidovorax sp. 35-64-16,6.29,6.29,6.29,original,optimum,aciDB,aciDB75,1970312,False,False,False,True
