ncbiTaxID_new,superkingdom_id,superkingdom,phylum_id,class_id,class,order_id,order,family_id,family,genus_id,genus,species_id,species,rank_new,name_new,Temp,Temp_Range_Average,Temp_Duplicate_Average,Temp_Value,Type,Source,Source_ID,taxid_original,taxid_was_merged,taxid_was_deleted,taxid_is_deleted_after_update,has_refseq_assembly,bin_name
1477021,2.0,Bacteria,201174.0,1760.0,Actinomycetes,85006.0,Micrococcales,85023.0,Microbacteriaceae,1648520.0,Conyzicola,1477021.0,Conyzicola nivalis,species,Conyzicola nivalis,14.00,14.00,14.0,original,optimum,Tempura,Tempura4131,1477021,False,False,False,True,psychrophiles
163361,2.0,Bacteria,201174.0,1760.0,Actinomycetes,85011.0,Kitasatosporales,2062.0,Streptomycetaceae,1883.0,Streptomyces,163361.0,Streptomyces beijiangensis,species,Streptomyces beijiangensis,14.00,14.00,14.0,original,optimum,Tempura,Tempura7524,163361,False,False,False,True,psychrophiles
145483,2.0,Bacteria,201174.0,1760.0,Actinomycetes,85006.0,Micrococcales,85023.0,Microbacteriaceae,96492.0,Frigoribacterium,145483.0,Frigoribacterium faeni,species,Frigoribacterium faeni,20.00,20.00,13.5,average,optimum,BacDive,7325,145483,False,False,False,True,psychrophiles
995037,2.0,Bacteria,201174.0,1760.0,Actinomycetes,85006.0,Micrococcales,85023.0,Microbacteriaceae,69578.0,Cryobacterium,995037.0,Cryobacterium aureum,species,Cryobacterium aureum,11.00,11.00,11.0,original,optimum,Tempura,Tempura8619,995037,False,False,False,True,psychrophiles
2056433,2.0,Bacteria,201174.0,1760.0,Actinomycetes,85006.0,Micrococcales,85023.0,Microbacteriaceae,120212.0,Subtercola,2056433.0,Subtercola vilae,species,Subtercola vilae,12.50,12.50,12.5,original,optimum,Tempura,Tempura8393,2056433,False,False,False,True,psychrophiles
995038,2.0,Bacteria,201174.0,1760.0,Actinomycetes,85006.0,Micrococcales,85023.0,Microbacteriaceae,69578.0,Cryobacterium,995038.0,Cryobacterium levicorallinum,species,Cryobacterium levicorallinum,11.00,11.00,11.0,original,optimum,Tempura,Tempura8618,995038,False,False,False,True,psychrophiles
253703,2.0,Bacteria,1239.0,91061.0,Bacilli,1385.0,Bacillales,186822.0,Paenibacillaceae,44249.0,Paenibacillus,253703.0,Paenibacillus antarcticus,species,Paenibacillus antarcticus,12.50,12.50,12.5,original,optimum,Tempura,Tempura7545,253703,False,False,False,True,psychrophiles
249189,2.0,Bacteria,1239.0,91061.0,Bacilli,186826.0,Lactobacillales,81852.0,Enterococcaceae,1350.0,Enterococcus,249189.0,Enterococcus hermanniensis,species,Enterococcus hermanniensis,13.50,13.50,13.5,original,optimum,BacDive,5344,249189,False,False,False,True,psychrophiles
198347,2.0,Bacteria,1239.0,186801.0,Clostridia,186802.0,Eubacteriales,31979.0,Clostridiaceae,1485.0,Clostridium,198347.0,Clostridium algoriphilum,species,Clostridium algoriphilum,5.00,5.00,5.0,original,optimum,Tempura,Tempura8600,198347,False,False,False,True,psychrophiles
52704,2.0,Bacteria,1239.0,186801.0,Clostridia,186802.0,Eubacteriales,31979.0,Clostridiaceae,1485.0,Clostridium,52704.0,Clostridium vincentii,species,Clostridium vincentii,12.00,12.00,12.0,original,optimum,Tempura,Tempura8599,52704,False,False,False,True,psychrophiles
238834,2.0,Bacteria,1239.0,186801.0,Clostridia,186802.0,Eubacteriales,31979.0,Clostridiaceae,1485.0,Clostridium,238834.0,Clostridium estertheticum,species,Clostridium estertheticum,7.00,7.00,7.0,original,optimum,"Lyubetsky et al., 2020",Lyu123,238834,False,False,False,True,psychrophiles
935223,2.0,Bacteria,976.0,117743.0,Flavobacteriia,200644.0,Flavobacteriales,49546.0,Flavobacteriaceae,237.0,Flavobacterium,935223.0,Flavobacterium xueshanense,species,Flavobacterium xueshanense,14.00,14.00,14.0,original,optimum,Tempura,Tempura8617,935223,False,False,False,True,psychrophiles
425514,2.0,Bacteria,976.0,117747.0,Sphingobacteriia,200666.0,Sphingobacteriales,84566.0,Sphingobacteriaceae,84567.0,Pedobacter,425514.0,Pedobacter hartonius,species,Pedobacter hartonius,14.00,14.00,14.0,original,optimum,Tempura,Tempura8422,425514,False,False,False,True,psychrophiles
935224,2.0,Bacteria,976.0,117743.0,Flavobacteriia,200644.0,Flavobacteriales,49546.0,Flavobacteriaceae,237.0,Flavobacterium,935224.0,Flavobacterium urumqiense,species,Flavobacterium urumqiense,14.50,14.50,14.5,original,optimum,Tempura,Tempura8624,935224,False,False,False,True,psychrophiles
2038737,2.0,Bacteria,976.0,117743.0,Flavobacteriia,200644.0,Flavobacteriales,49546.0,Flavobacteriaceae,237.0,Flavobacterium,2038737.0,Flavobacterium ardleyense,species,Flavobacterium ardleyense,10.00,10.00,10.0,original,optimum,Tempura,Tempura8572,2038737,False,False,False,True,psychrophiles
1469557,2.0,Bacteria,976.0,117743.0,Flavobacteriia,200644.0,Flavobacteriales,49546.0,Flavobacteriaceae,291183.0,Lacinutrix,1469557.0,Lacinutrix jangbogonensis,species,Lacinutrix jangbogonensis,10.00,10.00,10.0,original,optimum,Tempura,Tempura8635,1469557,False,False,False,True,psychrophiles
1562124,2.0,Bacteria,976.0,768503.0,Cytophagia,768507.0,Cytophagales,1853232.0,Hymenobacteraceae,89966.0,Hymenobacter,1562124.0,Hymenobacter glacieicola,species,Hymenobacter glacieicola,10.00,10.00,10.0,original,optimum,Tempura,Tempura8070,1562124,False,False,False,True,psychrophiles
291190,2.0,Bacteria,976.0,117743.0,Flavobacteriia,200644.0,Flavobacteriales,49546.0,Flavobacteriaceae,244698.0,Gillisia,291190.0,Gillisia hiemivivida,species,Gillisia hiemivivida,13.00,13.00,13.0,original,optimum,Tempura,Tempura8524,291190,False,False,False,True,psychrophiles
291187,2.0,Bacteria,976.0,117743.0,Flavobacteriia,200644.0,Flavobacteriales,49546.0,Flavobacteriaceae,283785.0,Bizionia,291187.0,Bizionia algoritergicola,species,Bizionia algoritergicola,10.50,10.50,10.5,original,optimum,Tempura,Tempura8542,291187,False,False,False,True,psychrophiles
1843235,2.0,Bacteria,976.0,117747.0,Sphingobacteriia,200666.0,Sphingobacteriales,84566.0,Sphingobacteriaceae,84567.0,Pedobacter,1843235.0,Pedobacter psychrotolerans,species,Pedobacter psychrotolerans,10.00,10.00,10.0,original,optimum,Tempura,Tempura8069,1843235,False,False,False,True,psychrophiles
1434752,2.0,Bacteria,976.0,117747.0,Sphingobacteriia,200666.0,Sphingobacteriales,84566.0,Sphingobacteriaceae,1288026.0,Arcticibacter,1434752.0,Arcticibacter eurypsychrophilus,species,Arcticibacter eurypsychrophilus,12.50,12.50,12.5,original,optimum,Tempura,Tempura8550,1434752,False,False,False,True,psychrophiles
651662,2.0,Bacteria,976.0,768503.0,Cytophagia,768507.0,Cytophagales,1853232.0,Hymenobacteraceae,89966.0,Hymenobacter,651662.0,Hymenobacter psychrophilus,species,Hymenobacter psychrophilus,5.50,5.50,5.5,original,optimum,Tempura,Tempura8556,651662,False,False,False,True,psychrophiles
505250,2.0,Bacteria,976.0,117743.0,Flavobacteriia,200644.0,Flavobacteriales,49546.0,Flavobacteriaceae,252356.0,Maribacter,505250.0,Maribacter antarcticus,species,Maribacter antarcticus,10.00,10.00,10.0,original,optimum,BacDive,5614,505250,False,False,False,True,psychrophiles
651661,2.0,Bacteria,976.0,768503.0,Cytophagia,768507.0,Cytophagales,2896860.0,Spirosomataceae,120831.0,Dyadobacter,651661.0,Dyadobacter psychrophilus,species,Dyadobacter psychrophilus,"46,310.00","46,310.00",12.5,manual fix,optimum,BacDive,3782,651661,False,False,False,True,psychrophiles
2054411,2.0,Bacteria,976.0,768503.0,Cytophagia,768507.0,Cytophagales,1853232.0,Hymenobacteraceae,89966.0,Hymenobacter,2054411.0,Hymenobacter defluvii,species,Hymenobacter defluvii,14.00,14.00,14.0,original,optimum,Tempura,Tempura7229,2054411,False,False,False,True,psychrophiles
1524095,2.0,Bacteria,976.0,768503.0,Cytophagia,768507.0,Cytophagales,1853232.0,Hymenobacteraceae,89966.0,Hymenobacter,1524095.0,Hymenobacter frigidus,species,Hymenobacter frigidus,12.50,12.50,12.5,original,optimum,Tempura,Tempura8606,1524095,False,False,False,True,psychrophiles
291179,2.0,Bacteria,976.0,117743.0,Flavobacteriia,200644.0,Flavobacteriales,49546.0,Flavobacteriaceae,291178.0,Subsaximicrobium,291179.0,Subsaximicrobium wynnwilliamsii,species,Subsaximicrobium wynnwilliamsii,10.50,10.50,10.5,original,optimum,Tempura,Tempura8544,291179,False,False,False,True,psychrophiles
336828,2.0,Bacteria,976.0,768503.0,Cytophagia,768507.0,Cytophagales,89373.0,Cytophagaceae,336827.0,Rhodonellum,336828.0,Rhodonellum psychrophilum,species,Rhodonellum psychrophilum,5.00,5.00,5.0,original,optimum,Tempura,Tempura8573,336828,False,False,False,True,psychrophiles
57029,2.0,Bacteria,976.0,117743.0,Flavobacteriia,200644.0,Flavobacteriales,49546.0,Flavobacteriaceae,83612.0,Psychroflexus,57029.0,Psychroflexus torquis,species,Psychroflexus torquis,12.50,12.50,12.5,original,optimum,"Lyubetsky et al., 2020",Lyu130,57029,False,False,False,True,psychrophiles
249403,2.0,Bacteria,1297.0,188787.0,Deinococci,118964.0,Deinococcales,183710.0,Deinococcaceae,1298.0,Deinococcus,249403.0,Deinococcus frigens,species,Deinococcus frigens,13.50,13.50,13.5,original,optimum,Tempura,Tempura8547,249403,False,False,False,True,psychrophiles
1121381,2.0,Bacteria,1297.0,188787.0,Deinococci,118964.0,Deinococcales,183710.0,Deinococcaceae,1298.0,Deinococcus,249408.0,Deinococcus marmoris,strain,Deinococcus marmoris DSM 12784,"46,281.00","46,281.00",12.5,manual fix,optimum,BacDive,3869,1121381,False,False,False,True,psychrophiles
249408,2.0,Bacteria,1297.0,188787.0,Deinococci,118964.0,Deinococcales,183710.0,Deinococcaceae,1298.0,Deinococcus,249408.0,Deinococcus marmoris,species,Deinococcus marmoris,12.50,12.50,12.5,original,optimum,Tempura,Tempura8549,249408,False,False,False,True,psychrophiles
468916,2.0,Bacteria,1297.0,188787.0,Deinococci,118964.0,Deinococcales,183710.0,Deinococcaceae,1298.0,Deinococcus,468916.0,Deinococcus radiomollis,species,Deinococcus radiomollis,10.00,10.00,10.0,original,optimum,Tempura,Tempura8502,468916,False,False,False,True,psychrophiles
249406,2.0,Bacteria,1297.0,188787.0,Deinococci,118964.0,Deinococcales,183710.0,Deinococcaceae,1298.0,Deinococcus,249406.0,Deinococcus saxicola,species,Deinococcus saxicola,9.00,9.00,9.0,original,optimum,Tempura,Tempura8071,249406,False,False,False,True,psychrophiles
468914,2.0,Bacteria,1297.0,188787.0,Deinococci,118964.0,Deinococcales,183710.0,Deinococcaceae,1298.0,Deinococcus,468914.0,Deinococcus altitudinis,species,Deinococcus altitudinis,10.00,10.00,10.0,original,optimum,Tempura,Tempura8504,468914,False,False,False,True,psychrophiles
468913,2.0,Bacteria,1297.0,188787.0,Deinococci,118964.0,Deinococcales,183710.0,Deinococcaceae,1298.0,Deinococcus,468913.0,Deinococcus alpinitundrae,species,Deinococcus alpinitundrae,10.00,10.00,10.0,original,optimum,Tempura,Tempura8505,468913,False,False,False,True,psychrophiles
1970312,2.0,Bacteria,1224.0,28216.0,Betaproteobacteria,80840.0,Burkholderiales,80864.0,Comamonadaceae,12916.0,Acidovorax,1970312.0,Acidovorax sp. 35-64-16,species,Acidovorax sp. 35-64-16,6.29,6.29,6.29,original,optimum,aciDB,aciDB75,1970312,False,False,False,True,psychrophiles
74109,2.0,Bacteria,1224.0,1236.0,Gammaproteobacteria,135623.0,Vibrionales,641.0,Vibrionaceae,657.0,Photobacterium,74109.0,Photobacterium profundum,species,Photobacterium profundum,10.00,10.00,10.0,original,optimum,"Lyubetsky et al., 2020",Lyu129,74109,False,False,False,True,psychrophiles
