input_taxid,assembly_taxid,assembly_accession,proteome_url,local_path,status,error
154,869211,GCF_000184345.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/184/345/GCF_000184345.1_ASM18434v2//GCF_000184345.1_ASM18434v2_protein.faa.gz,../data/proteomes/154_GCF_000184345.1_protein.faa.gz,ok,
253,253,GCF_900460995.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/460/995/GCF_900460995.1_42552_F01//GCF_900460995.1_42552_F01_protein.faa.gz,../data/proteomes/253_GCF_900460995.1_protein.faa.gz,ok,
128,575540,GCF_000186345.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/186/345/GCF_000186345.1_ASM18634v1//GCF_000186345.1_ASM18634v1_protein.faa.gz,../data/proteomes/128_GCF_000186345.1_protein.faa.gz,ok,
52,52,GCF_001189295.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/189/295/GCF_001189295.1_ASM118929v1//GCF_001189295.1_ASM118929v1_protein.faa.gz,../data/proteomes/52_GCF_001189295.1_protein.faa.gz,ok,
785,257363,GCF_000008045.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/045/GCF_000008045.1_ASM804v1//GCF_000008045.1_ASM804v1_protein.faa.gz,../data/proteomes/785_GCF_000008045.1_protein.faa.gz,ok,
271,498848,GCF_001399775.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/399/775/GCF_001399775.1_ASM139977v1//GCF_001399775.1_ASM139977v1_protein.faa.gz,../data/proteomes/271_GCF_001399775.1_protein.faa.gz,ok,
276,276,GCF_000771745.2,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/771/745/GCF_000771745.2_THFILIv2//GCF_000771745.2_THFILIv2_protein.faa.gz,../data/proteomes/276_GCF_000771745.2_protein.faa.gz,ok,
645,645,GCF_028355655.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/355/655/GCF_028355655.1_ASM2835565v1//GCF_028355655.1_ASM2835565v1_protein.faa.gz,../data/proteomes/645_GCF_028355655.1_protein.faa.gz,ok,
833,59374,GCF_000146505.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/146/505/GCF_000146505.1_ASM14650v1//GCF_000146505.1_ASM14650v1_protein.faa.gz,../data/proteomes/833_GCF_000146505.1_protein.faa.gz,ok,
940,608538,GCF_000164905.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/164/905/GCF_000164905.1_ASM16490v1//GCF_000164905.1_ASM16490v1_protein.faa.gz,../data/proteomes/940_GCF_000164905.1_protein.faa.gz,ok,
