input_taxid,taxid,species_taxid,organism_name,assembly_accession,refseq_category,assembly_level,seq_rel_date,ftp_path
52,52,52,Chondromyces crocatus,GCF_001189295.1,reference genome,Complete Genome,2015-07-30,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/189/295/GCF_001189295.1_ASM118929v1/
128,575540,128,Isosphaera pallida ATCC 43644,GCF_000186345.1,reference genome,Complete Genome,2011-01-20,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/186/345/GCF_000186345.1_ASM18634v1/
154,869211,154,Winmispira thermophila DSM 6578,GCF_000184345.1,reference genome,Complete Genome,2011-07-06,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/184/345/GCF_000184345.1_ASM18434v2/
253,253,253,Chryseobacterium indologenes,GCF_900460995.1,reference genome,Contig,2018-08-08,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/460/995/GCF_900460995.1_42552_F01/
271,498848,271,Thermus aquaticus Y51MC23,GCF_001399775.1,reference genome,Complete Genome,2015-10-19,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/399/775/GCF_001399775.1_ASM139977v1/
276,276,276,Thermus filiformis,GCF_000771745.2,reference genome,Contig,2015-02-24,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/771/745/GCF_000771745.2_THFILIv2/
645,645,645,Aeromonas salmonicida,GCF_028355655.1,reference genome,Complete Genome,2023-01-31,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/355/655/GCF_028355655.1_ASM2835565v1/
785,257363,785,Rickettsia typhi str. Wilmington,GCF_000008045.1,reference genome,Complete Genome,2004-08-19,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/045/GCF_000008045.1_ASM804v1/
818,818,818,Bacteroides thetaiotaomicron,GCF_014131755.1,reference genome,Complete Genome,2020-08-10,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/131/755/GCF_014131755.1_ASM1413175v1/
833,59374,833,Fibrobacter succinogenes subsp. succinogenes S85,GCF_000146505.1,reference genome,Complete Genome,2010-08-06,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/146/505/GCF_000146505.1_ASM14650v1/
940,608538,940,Hydrogenobacter thermophilus TK-6,GCF_000164905.1,reference genome,Complete Genome,2010-10-15,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/164/905/GCF_000164905.1_ASM16490v1/
983,983,983,Flavobacterium flevense,GCF_900142775.1,reference genome,Scaffold,2016-12-03,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/142/775/GCF_900142775.1_IMG-taxon_2700988729_annotated_assembly/
1018,521097,1018,Capnocytophaga ochracea DSM 7271,GCF_000023285.1,reference genome,Complete Genome,2009-08-26,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/285/GCF_000023285.1_ASM2328v1/
1069,648757,1069,Rhodomicrobium vannielii ATCC 17100,GCF_016461745.1,reference genome,Contig,2021-01-03,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/461/745/GCF_016461745.1_ASM1646174v1/
1092,290315,1092,Chlorobium limicola DSM 245,GCF_000020465.1,reference genome,Complete Genome,2008-06-04,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/465/GCF_000020465.1_ASM2046v1/
1097,194439,1097,Chlorobaculum tepidum TLS,GCF_000006985.1,reference genome,Complete Genome,2002-07-02,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/985/GCF_000006985.1_ASM698v1/
1426,1426,1426,Parageobacillus thermoglucosidasius,GCF_001700985.1,reference genome,Complete Genome,2016-08-09,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/700/985/GCF_001700985.1_ASM170098v1/
1457,1457,1457,Paenalicyclobacillus cycloheptanicus,GCF_028751525.1,reference genome,Complete Genome,2023-02-21,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/751/525/GCF_028751525.1_ASM2875152v1/
1462,1462,1462,Geobacillus kaustophilus,GCF_055385665.1,na,Complete Genome,2024-12-20,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/055/385/665/GCF_055385665.1_ASM5538566v1/
1525,1525,1525,Neomoorella thermoacetica,GCF_001267435.1,reference genome,Complete Genome,2015-08-13,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/267/435/GCF_001267435.1_ASM126743v1/
1529,1529,1529,Clostridium cadaveris,GCF_020911725.1,reference genome,Complete Genome,2021-11-22,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/911/725/GCF_020911725.1_ASM2091172v1/
1536,1536,1536,Hathewaya limosa,GCF_030815255.1,reference genome,Contig,2023-08-18,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/815/255/GCF_030815255.1_ASM3081525v1/
1703,1703,1703,Brevibacterium linens,GCF_003999335.1,reference genome,Complete Genome,2019-01-08,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/999/335/GCF_003999335.1_ASM399933v1/
2021,269800,2021,Thermobifida fusca YX,GCF_000012405.1,reference genome,Complete Genome,2005-08-08,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/405/GCF_000012405.1_ASM1240v1/
2036,2036,2036,Curtobacterium citreum,GCF_030178475.1,reference genome,Complete Genome,2023-06-06,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/178/475/GCF_030178475.1_ASM3017847v1/
2051,548479,2051,Mobiluncus curtisii ATCC 43063,GCF_000196535.1,reference genome,Complete Genome,2010-06-14,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/196/535/GCF_000196535.1_ASM19653v1/
2234,2234,2234,Archaeoglobus fulgidus,GCF_900069765.1,na,Contig,2016-09-20,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/069/765/GCF_900069765.1_ASM90006976v1/
2257,348780,2257,Natronomonas pharaonis DSM 2160,GCF_000026045.1,reference genome,Complete Genome,2005-09-28,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/026/045/GCF_000026045.1_ASM2604v1/
2262,2262,2262,Pyrococcus woesei,GCF_050496105.1,reference genome,Complete Genome,2025-05-20,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/050/496/105/GCF_050496105.1_ASM5049610v1/
2264,1293037,2264,Thermococcus celer Vu 13 = JCM 8558,GCF_002214365.1,reference genome,Complete Genome,2017-07-05,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/214/365/GCF_002214365.1_ASM221436v1/
