member,ncbiTaxID_new,Temp_Duplicate_Average,bin_name,facebook/esm2_t12_35M_UR50D,facebook/esm2_t30_150M_UR50D,facebook/esm2_t33_650M_UR50D,facebook/esm2_t6_8M_UR50D
1111041|WP_274315446.1,1111041,20.0,mesophiles bin 1,30.890453338623047,29.8982048034668,22.849742889404297,32.45555877685547
1121381|WP_029482037.1,1121381,12.5,psychrophiles,33.00395584106445,27.25662422180176,34.67491912841797,39.905982971191406
1129794|WP_007634628.1,1129794,12.0,psychrophiles,21.949012756347656,18.211822509765625,14.124473571777344,19.836688995361328
1168730|WP_129475184.1,1168730,20.0,mesophiles bin 1,33.506351470947266,28.9335880279541,27.768795013427734,36.51390838623047
2021|WP_011291829.1,2021,44.0,mesophiels bin 3,35.58683013916016,32.564544677734375,25.518157958984375,41.99543380737305
1230528|WP_207273970.1,1230528,35.0,mesophiels bin 3,28.54876136779785,27.52827262878418,28.607166290283203,30.86469078063965
571913|WP_052594917.1,571913,24.0,mesophiles bin 1,22.73271751403809,21.162384033203125,23.908843994140625,23.032630920410156
1247960|WP_263115049.1,1247960,50.0,mesophiles bin 4,69.58737182617188,56.2418212890625,33.45104217529297,33.41340637207031
1293648|WP_048101172.1,1293648,55.0,mesophiles bin 4,47.08733367919922,31.67241477966309,25.336444854736328,53.0308837890625
163361|WP_206960898.1,163361,14.0,psychrophiles,29.043045043945312,32.60175323486328,35.20357894897461,34.76530456542969
1642299|WP_232626862.1,1642299,37.0,mesophiels bin 3,33.16023254394531,33.878456115722656,30.20025062561035,27.78313636779785
1658618|WP_105043583.1,1658618,10.0,psychrophiles,27.066293716430664,33.789520263671875,21.818256378173828,18.795249938964844
1750597|WP_123399706.1,1750597,65.0,thermophiles,54.7219352722168,61.747467041015625,58.436302185058594,64.15203857421875
1970434|WP_374145517.1,1970434,4.2,psychrophiles,9.045644760131836,10.036571502685549,13.894542694091797,17.018468856811523
218490|WP_105048357.1,218490,22.0,mesophiles bin 1,28.46974754333496,25.52133178710937,22.113590240478516,27.159122467041016
35743|WP_143103870.1,35743,40.0,mesophiels bin 3,32.9395637512207,38.25474548339844,39.08060836791992,25.24795913696289
429009|WP_015739780.1,429009,70.0,thermophiles,80.74957275390625,78.15898895263672,74.26709747314453,82.02079772949219
348842|WP_027718927.1,348842,70.5,thermophiles,84.99394989013672,84.67021942138672,76.78396606445312,83.18484497070312
444093|WP_115793067.1,444093,75.0,thermophiles,78.34996795654297,75.21804809570312,68.72461700439453,72.66757202148438
466153|WP_015244838.1,466153,23.0,mesophiles bin 1,37.254695892333984,37.66553497314453,49.07238006591797,30.059823989868164
523851|WP_367883509.1,523851,87.5,hyperthermophiles,36.600074768066406,43.26298141479492,52.85294342041016,41.18372344970703
755310|WP_256307646.1,755310,37.0,mesophiels bin 3,41.764747619628906,39.80807495117188,40.91761779785156,42.205543518066406
874266|WP_464740521.1,874266,65.0,thermophiles,63.090728759765625,67.17328643798828,71.03346252441406,68.38896179199219
908809|WP_083490406.1,908809,55.0,mesophiles bin 4,55.27648162841797,47.23306655883789,39.17128372192383,36.78154754638672
2264|WP_088863163.1,2264,88.0,hyperthermophiles,81.71749877929688,83.24730682373047,82.29653930664062,61.96446990966797
2275|WP_048078792.1,2275,85.0,hyperthermophiles,71.2032470703125,74.47003173828125,73.78907012939453,64.90345764160156
167642|WP_013388176.1,167642,30.0,mesophiles bin 2,52.80595016479492,43.80363082885742,30.70633888244629,22.9312744140625
69014|WP_011250342.1,69014,85.0,hyperthermophiles,86.49946594238281,82.78411865234375,82.40040588378906,75.8866958618164
83868|WP_048149042.1,83868,83.0,hyperthermophiles,86.40169525146484,76.02164459228516,80.09246063232422,70.84298706054688
54076|WP_010477249.1,54076,77.5,thermophiles,88.97023010253906,77.03457641601562,79.16578674316406,75.38810729980469
1121338|WP_066823904.1,1121338,50.0,mesophiles bin 4,67.32948303222656,43.40626525878906,33.71371078491211,45.834007263183594
1962263|WP_078024846.1,1962263,47.5,mesophiles bin 4,51.2110595703125,43.75318908691406,36.93755340576172,33.384151458740234
29344|WP_103895230.1,29344,68.0,thermophiles,69.06729888916016,59.97381591796875,44.756805419921875,51.11151885986328
1536|WP_307356994.1,1536,37.0,mesophiels bin 3,50.46025085449219,45.53422927856445,39.16238784790039,35.19126892089844
238834|WP_071612761.1,238834,7.0,psychrophiles,43.957984924316406,25.777544021606445,30.515722274780273,23.54969024658203
887929|WP_006598380.1,887929,36.0,mesophiels bin 3,50.60591125488281,27.37865257263184,29.620031356811523,36.686893463134766
291989|WP_148865965.1,291989,64.0,thermophiles,54.98353576660156,54.76113128662109,38.8541259765625,64.19807434082031
1529|WP_027639584.1,1529,33.5,mesophiles bin 2,52.83808135986328,44.0315055847168,37.16856384277344,35.622947692871094
53442|WP_013378409.1,53442,37.0,mesophiels bin 3,41.519439697265625,39.78895950317383,34.4682731628418,21.275848388671875
112900|WP_093795963.1,112900,35.0,mesophiels bin 3,42.40110778808594,38.05409622192383,34.129268646240234,41.96971893310547
401526|WP_007289757.1,401526,60.0,thermophiles,55.310325622558594,39.23627471923828,38.23234558105469,38.99995040893555
53442|WP_013381163.1,53442,37.0,mesophiels bin 3,47.49242401123047,47.486595153808594,34.56447982788086,25.708599090576172
128|WP_013566362.1,128,42.33,mesophiels bin 3,28.96725082397461,49.04316329956055,46.76692962646485,34.03145980834961
145262|WP_115892749.1,145262,63.75,thermophiles,61.02524566650391,57.418731689453125,49.34187698364258,49.72808837890625
