member,split,ncbiTaxID_new,Temp_Duplicate_Average,bin_name
145483|WP_146856883.1,train,145483,13.5,psychrophiles
96941|WP_262967054.1,train,96941,6.75,psychrophiles
1469557|WP_034060712.1,train,1469557,10.0,psychrophiles
1469557|WP_034062383.1,train,1469557,10.0,psychrophiles
2054411|WP_208306733.1,train,2054411,14.0,psychrophiles
935223|WP_091203746.1,train,935223,14.0,psychrophiles
935224|WP_103999824.1,train,935224,14.5,psychrophiles
1485217|WP_099790383.1,train,1485217,10.0,psychrophiles
1485217|WP_229413921.1,train,1485217,10.0,psychrophiles
1288391|WP_017178809.1,train,1288391,37.0,mesophiels bin 3
1336806|WP_100258589.1,train,1336806,12.0,psychrophiles
1382356|WP_038040171.1,train,1382356,65.0,thermophiles
1434752|WP_069658264.1,train,1434752,12.5,psychrophiles
145483|WP_244289693.1,train,145483,13.5,psychrophiles
1469557|WP_034061270.1,train,1469557,10.0,psychrophiles
2054411|WP_208306940.1,train,2054411,14.0,psychrophiles
1407499|WP_059055595.1,train,1407499,45.0,mesophiles bin 4
935224|WP_425269137.1,train,935224,14.5,psychrophiles
1562124|WP_188556332.1,train,1562124,10.0,psychrophiles
2038737|WP_379809328.1,train,2038737,10.0,psychrophiles
291187|WP_066248295.1,train,291187,10.5,psychrophiles
291190|WP_146930351.1,train,291190,13.0,psychrophiles
1843235|WP_132534180.1,train,1843235,10.0,psychrophiles
57029|WP_015024860.1,train,57029,12.5,psychrophiles
336828|WP_019596059.1,train,336828,5.0,psychrophiles
651662|WP_245711831.1,train,651662,5.5,psychrophiles
291179|WP_147084982.1,train,291179,10.5,psychrophiles
198347|WP_226121254.1,train,198347,5.0,psychrophiles
238834|WP_076605252.1,train,238834,7.0,psychrophiles
325778|WP_270095899.1,train,325778,23.6,mesophiles bin 1
253703|WP_068648545.1,train,253703,12.5,psychrophiles
225848|WP_077754146.1,train,225848,12.5,psychrophiles
1117313|WP_010554444.1,train,1117313,12.5,psychrophiles
425514|WP_090559437.1,train,425514,14.0,psychrophiles
1336806|WP_100256497.1,train,1336806,12.0,psychrophiles
74109|WP_006232588.1,train,74109,10.0,psychrophiles
304413|WP_464243961.1,train,304413,14.0,psychrophiles
212021|WP_248974040.1,train,212021,13.0,psychrophiles
96941|WP_262965965.1,train,96941,6.75,psychrophiles
2023717|WP_232616226.1,train,2023717,12.5,psychrophiles
249189|WP_071858032.1,train,249189,13.5,psychrophiles
52704|WP_106060493.1,train,52704,12.0,psychrophiles
177439|WP_011188085.1,train,177439,10.0,psychrophiles
1970313|WP_291324519.1,train,1970313,6.29,psychrophiles
74348|WP_093923423.1,train,74348,14.5,psychrophiles
271099|WP_126503863.1,train,271099,10.0,psychrophiles
131540|WP_019556785.1,train,131540,12.35,psychrophiles
1201293|WP_017221888.1,train,1201293,9.0,psychrophiles
1970434|WP_374147137.1,train,1970434,4.2,psychrophiles
1121922|WP_006013243.1,train,1121922,12.5,psychrophiles
218670|WP_061331683.1,train,218670,22.5,mesophiles bin 1
1129794|WP_034898537.1,train,1129794,12.0,psychrophiles
645597|WP_132985412.1,train,645597,12.5,psychrophiles
1970433|WP_374133067.1,train,1970433,4.2,psychrophiles
67573|WP_238741779.1,train,67573,12.0,psychrophiles
1641715|WP_435531794.1,train,1641715,18.0,mesophiles bin 1
271098|WP_012276342.1,train,271098,10.0,psychrophiles
1967665|WP_081152152.1,train,1967665,11.5,psychrophiles
53946|WP_015497265.1,train,53946,9.5,psychrophiles
28229|WP_011044873.1,train,28229,9.5,psychrophiles
1217908|WP_044044344.1,train,1217908,7.0,psychrophiles
1970432|WP_374126607.1,train,1970432,4.2,psychrophiles
1658618|WP_240610549.1,train,1658618,10.0,psychrophiles
268735|WP_120085075.1,train,268735,45.0,mesophiles bin 4
37448|WP_168923698.1,train,37448,4.0,psychrophiles
249408|WP_034414719.1,train,249408,12.5,psychrophiles
468914|WP_407570684.1,train,468914,10.0,psychrophiles
468913|WP_237725007.1,train,468913,10.0,psychrophiles
1477021|WP_188510209.1,train,1477021,14.0,psychrophiles
1485217|WP_229414148.1,train,1485217,10.0,psychrophiles
1524095|WP_188562778.1,train,1524095,12.5,psychrophiles
1524095|WP_188561815.1,train,1524095,12.5,psychrophiles
1562124|WP_110980639.1,train,1562124,10.0,psychrophiles
2054411|WP_208309585.1,train,2054411,14.0,psychrophiles
1617087|WP_386427672.1,train,1617087,30.0,mesophiles bin 2
163361|WP_206963716.1,train,163361,14.0,psychrophiles
163361|WP_344107993.1,train,163361,14.0,psychrophiles
163361|WP_206962964.1,train,163361,14.0,psychrophiles
1658618|WP_105041688.1,train,1658618,10.0,psychrophiles
1658618|WP_165788791.1,train,1658618,10.0,psychrophiles
1658618|WP_105041850.1,train,1658618,10.0,psychrophiles
177439|WP_011187769.1,train,177439,10.0,psychrophiles
177439|WP_011187489.1,train,177439,10.0,psychrophiles
177439|WP_041277497.1,train,177439,10.0,psychrophiles
1843235|WP_229676858.1,train,1843235,10.0,psychrophiles
1960156|WP_106381249.1,train,1960156,16.5,mesophiles bin 1
1967665|WP_081151738.1,train,1967665,11.5,psychrophiles
1970309|WP_024815673.1,train,1970309,6.29,psychrophiles
1485217|WP_099794075.1,train,1485217,10.0,psychrophiles
1970313|WP_033448843.1,train,1970313,6.29,psychrophiles
1970432|WP_374125539.1,train,1970432,4.2,psychrophiles
1970434|WP_374147154.1,train,1970434,4.2,psychrophiles
1970434|WP_374146963.1,train,1970434,4.2,psychrophiles
1970436|WP_374139703.1,train,1970436,4.2,psychrophiles
1526162|WP_267665655.1,train,1526162,43.5,mesophiels bin 3
198347|WP_226124898.1,train,198347,5.0,psychrophiles
2023717|WP_101767457.1,test,2023717,12.5,psychrophiles
2036|WP_284601351.1,train,2036,28.0,mesophiles bin 2
2054411|WP_208306194.1,train,2054411,14.0,psychrophiles
2054411|WP_208305860.1,train,2054411,14.0,psychrophiles
2056433|WP_136643818.1,train,2056433,12.5,psychrophiles
212021|WP_248975105.1,train,212021,13.0,psychrophiles
43661|WP_193633355.1,train,43661,5.0,psychrophiles
271099|WP_126503288.1,train,271099,10.0,psychrophiles
225848|WP_077751949.1,train,225848,12.5,psychrophiles
271099|WP_126504373.1,train,271099,10.0,psychrophiles
271096|WP_126518571.1,train,271096,10.0,psychrophiles
225848|WP_077754063.1,val,225848,12.5,psychrophiles
225848|WP_077754768.1,val,225848,12.5,psychrophiles
60217|WP_013052102.1,val,60217,7.0,psychrophiles
225848|WP_169915841.1,val,225848,12.5,psychrophiles
238834|WP_151553560.1,train,238834,7.0,psychrophiles
198347|WP_226125070.1,train,198347,5.0,psychrophiles
52704|WP_106059462.1,train,52704,12.0,psychrophiles
238834|WP_151553946.1,train,238834,7.0,psychrophiles
249189|WP_071858609.1,train,249189,13.5,psychrophiles
249189|WP_071858214.1,train,249189,13.5,psychrophiles
249403|WP_156953111.1,train,249403,13.5,psychrophiles
67573|WP_238743475.1,train,67573,12.0,psychrophiles
468913|WP_237725081.1,train,468913,10.0,psychrophiles
1323370|WP_069649959.1,train,1323370,60.0,thermophiles
1201293|WP_017220345.1,train,1201293,9.0,psychrophiles
